_id,Anno,Quartiere,NIL,Uomini,Donne,Totale,Minori,Stranieri,Famiglie,Famiglie unipersonali,80 e più soli,Nati,Nati fuori dal matrimonio,Nati con almeno un genitore straniero,Morti,Emigrati,Immigrati,80 e più,65 e più,Prima cittadinanza,residenti prima cittadinanza,Seconda cittadinanza,residenti seconda cittadinanza,Terza cittadinanza,residenti terza cittadinanza,Scuola dell'infanzia (numero),Scuola primaria (numero),Scuola secondaria di primo grado (numero),Area (metri quadrati),fermate linee superficie,fermate metro,piste ciclabili (m)
1,2011,Adriano,17,7188,7042,14230,2712,2538,8498,3897,545,160,48,48,70,315,893,476,2141,Filippine,449,"Cinese, Repubblica Popolare",328,Egitto,275,4,1,0,"2431560,11",34,0,1360
2,2011,Affori,80,11497,11564,23061,3721,6276,9044,4063,609,229,76,102,201,502,1009,1226,4623,"Cinese, Repubblica Popolare",1333,Egitto,979,Filippine,903,5,3,2,"2070893,65",21,2,1550
3,2011,Baggio,55,14029,15565,29594,4468,4545,23,7,0,230,92,89,320,607,944,2003,7741,Filippine,892,Perù,687,Egitto,488,7,3,2,"3478599,96",55,0,0
4,2011,Bande Nere,52,19693,23762,43455,5994,5915,7461,3288,522,347,114,104,593,918,1403,4443,12772,Filippine,1253,Perù,521,Egitto,520,14,7,7,"2663880,93",73,3,0
5,2011,Barona,46,8090,9241,17331,2381,1944,6458,2623,485,87,36,32,253,330,286,1312,5179,Egitto,494,Marocco,221,Filippine,188,3,3,1,"2006324,59",59,0,1240
6,2011,Bicocca,15,3502,3410,6912,1242,1076,10133,4802,608,62,17,27,44,264,372,257,1118,Egitto,166,Filippine,122,Ecuador,84,0,0,0,"1534521,13",39,3,3070
7,2011,Bovisa,77,6410,6177,12587,1834,4025,8504,3483,596,126,41,72,82,320,678,745,2337,Egitto,949,"Cinese, Repubblica Popolare",657,Filippine,452,4,2,1,"1913132,63",27,1,3470
8,2011,Bovisasca,81,3467,3868,7335,1089,883,1,0,0,51,21,20,97,147,152,525,1901,Perù,105,Egitto,104,"Cinese, Repubblica Popolare",84,3,1,1,"1576826,44",23,0,0
9,2011,Brera,2,8247,9847,18094,2840,2523,2578,1179,176,152,50,26,146,492,676,1224,4063,Filippine,445,Sri Lanka (ex Ceylon),249,Perù,138,6,6,5,"1637395,23",63,4,1354
10,2011,Bruzzano,83,5985,6256,12241,1888,2039,8439,3703,486,103,47,35,112,255,380,649,2741,Egitto,291,Perù,210,Ecuador,192,3,2,1,"1667691,29",21,1,0
11,2011,Buenos Aires - Venezia,21,28741,32833,61574,9071,8053,10941,4908,732,490,169,123,535,1408,2244,4270,13854,Filippine,1390,Sri Lanka (ex Ceylon),574,Perù,543,10,5,4,"2877542,27",119,5,1220
12,2011,Cantalupa,47,234,230,464,74,67,13048,6022,1021,5,2,1,4,19,23,8,70,"Cinese, Repubblica Popolare",14,Egitto,10,Bulgaria,8,0,0,0,"926716,81",2,0,1460
13,2011,Cascina Triulza - Expo,73,306,82,388,31,33,7260,3265,580,1,1,0,1,27,94,1,13,"Cinese, Repubblica Popolare",9,Marocco,5,Romania,4,0,0,0,"1729126,9",1,0,2204
14,2011,Centrale,10,8657,8807,17464,2514,4014,18298,8179,1452,156,58,70,161,449,853,1089,3514,Filippine,615,"Cinese, Repubblica Popolare",505,Bangladesh,455,3,4,4,"1556077,52",65,5,878
15,2011,Chiaravalle,34,569,539,1108,148,134,3193,1276,119,6,1,3,15,18,32,41,210,Bangladesh,27,Filippine,16,Romania,13,1,0,0,"311640,12",4,0,0
16,2011,Città Studi,22,16859,19962,36821,4890,5389,13825,6368,777,315,107,86,414,849,1386,3271,9524,Filippine,840,Perù,666,Egitto,388,7,8,5,"2207487,44",88,2,564
17,2011,Comasina,82,4580,4796,9376,1645,2748,6447,2550,227,91,44,56,92,207,374,711,1966,"Cinese, Repubblica Popolare",742,Egitto,365,Perù,291,3,2,2,"926734,56",24,1,0
18,2011,Corsica,25,8547,10266,18813,2530,2731,10004,4460,1030,164,54,42,178,398,671,1639,4797,Filippine,635,Perù,249,Ecuador,224,6,3,2,"1081329,7",35,2,1930
19,2011,De Angeli - Monte Rosa,58,9324,11424,20748,3139,2536,17536,7934,1222,194,66,42,199,428,747,1750,5202,Filippine,368,Francia,301,Perù,166,3,2,3,"1323078,54",249,2,1550
20,2011,Dergano,79,11048,10204,21252,3394,6751,20832,9376,1140,214,75,122,157,429,1074,1110,3840,Egitto,1460,"Cinese, Repubblica Popolare",1301,Filippine,803,3,3,3,"1358615,04",29,3,325
21,2011,Duomo,1,8149,9053,17202,2780,2495,30489,13499,2056,140,44,35,145,447,795,1067,3698,Filippine,497,Sri Lanka (ex Ceylon),296,Perù,143,4,4,3,"2341704,07",106,8,0
22,2011,Ex OM - Morivione,37,3611,4050,7661,1269,1151,18593,8494,1609,68,21,14,112,175,261,543,1627,Filippine,207,Egitto,166,Sri Lanka (ex Ceylon),130,2,1,1,"817976,68",10,0,510
23,2011,Farini,78,1993,1827,3820,537,1272,4901,2277,277,47,19,28,27,112,221,157,594,Egitto,330,"Cinese, Repubblica Popolare",218,Filippine,154,0,0,0,"1010230,89",17,0,325
24,2011,Figino,63,852,891,1743,270,238,500,271,24,15,4,2,16,39,54,115,349,Romania,53,Egitto,35,Sri Lanka (ex Ceylon),35,2,2,1,"1424713,85",11,0,0
25,2011,Forze Armate,56,11073,12470,23543,3385,3533,9323,4117,772,187,72,60,251,513,906,1565,6044,Filippine,641,Egitto,487,Perù,396,7,5,2,"3206902,39",66,2,0
26,2011,Gallaratese,65,15505,17470,32975,4361,2467,15476,6907,1139,204,75,41,389,606,593,2842,11489,Perù,297,Filippine,250,Romania,235,6,6,3,"3894538,21",87,5,2570
27,2011,Garibaldi Repubblica,9,2510,2772,5282,722,724,8309,3752,546,43,11,11,44,180,217,347,1087,Perù,91,"Cinese, Repubblica Popolare",71,Filippine,56,1,0,0,"785668,25",27,2,1290
28,2011,Ghisolfa,70,7981,9126,17107,2596,2711,11291,5222,888,169,49,57,173,338,595,1429,3985,"Cinese, Repubblica Popolare",485,Filippine,468,Egitto,246,0,0,0,"1051452,21",32,0,203
29,2011,Giambellino,49,14792,16464,31256,4742,7055,2031,968,165,263,85,104,342,744,1291,2282,7287,Egitto,1627,Filippine,1141,Perù,560,2,2,2,"1965274,21",57,4,1890
